1698592751# #该账号行为极其恶劣，已经严重污染微博社区网络环境，更是与清朗行动背道而驰。请平台依据社区公约对违规内容予以删除，并禁言处理，谢谢娱乐生态观察站&nbsp;蔚蓝计划&nbsp;
1697898637# #杨紫超话1106陪杨紫浪漫环游🌼超话星愿池你既如池塘春草，又如深海珊瑚！你的美，可浅尝，更能深品。
1697177297# #不改初心，坚韧前行。演员杨紫，未来可期，星途璀璨。@杨紫
1697082286# #✨✨✨♥️♥️♥️✨♥️♥️♥️✨✨✨✨✨♥️♥️♥️♥️🤍♥️♥️♥️♥️✨✨✨✨♥️♥️守护全世界最好♥️♥️✨✨✨✨✨♥️♥️杨紫♥️♥️✨✨✨✨✨✨✨♥️♥️♥️♥️♥️✨✨✨✨✨✨✨✨✨♥️♥️♥️✨✨✨✨✨✨✨✨✨✨✨♥️✨✨✨✨✨✨
1698938575# #杨紫超话杨紫范丞丞将录制hi6🌺杨紫官宣mlb棒球大使晚风吹月雪，夜莺惊寒霜。秉烛话思意，寄语入梦乡。晚安♡⃝&nbsp;Good&nbsp;night&nbsp;☽⋆。
1700666805# #微博视界大会微光闪耀，热爱前行。我正在微光荣耀入围影视人物为杨紫荣耀推荐！为TA送出微光，助力荣耀时刻~于我而言，你是海，是林。我爱你，如鲸向海，似鸟投林，不可避免，退无可退🍎
1704382471# #杨紫超话和杨紫点亮微博之夜我看过春风十里，见过夏至末至，试过秋光涟漪，爱过冬日暖阳，全抵不过你一句，我想见你
1694529548# #上帝的珠宝掉落一地，所以我看见满天繁星和你的眼睛杨紫小夭yz杨紫长相思@杨紫
1692327533# #请你和杨紫一起参与民法典普法宣传开学季开学季开学季
1697728797# #1106陪杨紫浪漫环游他们说，这个世界上，海最深邃，干净又透明，我想，那是他们没见过你的眼睛杨紫超话
1703690174# #我推荐《长相思第一季》为微博网友喜爱剧集，好剧集带来的感悟、力量和快乐是剧集之外留给真实生活的彩蛋。一起来微博之夜让好剧集感染更多人吧，参与互动还有机会赢大额红包和盛典门票哦！微博网友喜爱作品
1699282243# #祝你生日快乐，祝你天天快乐，祝你从早上起床快乐到晚上钻进被窝。@杨紫
1703690106# #BOLON眼镜品牌代言人杨紫以艺术时尚为主题，携手开启新的征程💜恭喜演员成为品牌代言人一起无需掩饰，做真实的自己！‍杨紫黄瀛子杨紫超话
1699525224# #微博视界大会为热爱奔赴，我正在微光荣耀入围作品中推荐长相思！杨紫长相思微风杨紫小夭小夭你来跟我一起走，从长安月下走至暮雪白头。
1695135552# #杨紫超话杨紫拼色针织开衫阳光下慎重地开满了花，朵朵都是我前世的盼望。当你走近请你细听那颤抖的叶是我等待的热情。在秋天遇见春意盎然的杨紫。
1699520603# #微博视界大会为热爱奔赴，我正在微光荣耀入围作品中推荐长相思！杨紫长相思心杨紫小夭表哥说：只有你安好，我的天下才有意义。
1703172215# #一心一意，是她真诚敬业的态度；一点一滴，是她星光闪耀的伏笔；追梦路上，她不畏艰难，奋力前行，赋予每个角色独特的生命力；期待演员更多精彩！
1692973304# #杨紫低谷时期更要坚持自信从童星到青年演员，她脚踏实地做演员，坚持原声，成年后原声作品多达26部。台词功底永远在线，声线音色切换自如，为每一个角色赋予独特生命力，你永远可以相信杨紫的台词！杨紫小夭yz杨紫长相思
1694059501# #杨紫超话杨紫不要自卑要自信愿你放下执着，放下不甘心，从今以后，只负责精彩自己的人生。往事不回头，未来不将就，你若盛开，清风自来。杨紫小夭yz。
1699520482# #哇哦~微博视界大会种子计划微光合伙人祝福我咯，收祝福，接好运！点击链接继续参与互动，下一次抽中的也许就是微光盛典观礼名额哦！
1699526188# #期待小奇整大活
1698122220# #生活不全是利益，更多的还是相互成就和相互温暖杨紫我们的美好生活
1703690190# #我推荐毛不易幼鸟指南巡回演唱会为微博网友喜爱演出，一场精彩的演出为我们带来的是无与伦比的视听享受和精神满足！一起来微博之夜推荐更多印象深刻的演出吧，参与互动还有机会赢大额红包和盛典门票哦！微博网友喜爱作品
1703776876# #杨紫超话我的2023关键字是：进取！bolon眼镜品牌代言人杨紫valentino品牌代言人杨紫
1697641535# #该账号行为极其恶劣，已经严重污染微博社区网络环境，更是与清朗行动背道而驰。请平台依据社区公约对违规内容予以删除，并禁言处理，谢谢娱乐生态观察站&nbsp;蔚蓝计划&nbsp;
1703951301# #我推荐《八角笼中》为微博网友喜爱电影，被时间偏爱的必成经典，一起来微博之夜让好电影被更多人看见！参与互动还有机会赢大额红包和盛典门票哦！微博网友喜爱作品
