1702705977# #刘诗诗散粉超话。b站那个说一念关山男主是任如意影子的视频，想一想还挺有道理的。之前梳理任辛/任如意的成长线就发现了，任辛的内核是非常完整且强大的，在没遇到男主前，她就遇到了改变成为任如意的契机且已经踏入改变的旅程。。。而男主的出现恰逢其时，让任如意见识到另一面的自己（非独来独往，
1701018439# #谁坚持不了一个月，真诚祝福找个老鼠精嫁了吧。
1699254658# #优雅动人，闪闪发光的大美人
1692352518# #刘诗诗散粉超话。今天可隆活动，一姐好松弛、轻盈，心情好happy。保持状态，加油拍戏送花花
1699271308# #哈哈哈哈哈哈哈哈哈哈看自己的硬广是不是很开心？笑cry
1703065783# #好美的灯，咋制作的，好厉害。
1691593645# #刘诗诗散粉超话有没有人解释一下，为啥上升到一姐头上？
1695527621# #越想越觉得竹业保密拍摄这事做的很好。不然就冲竹业这热度，不知道要被被全网一起上黑成啥样，叫月红蹭多少便宜去。只去年半官宣的热度，就让月红蹭飘了，今年如果放开了拍摄，在各种路透满天飞、全网踩竹业的舆论攻势下，月红又捆又踩能蹭上天。。竹业用独立的演职制作是我最感谢王一栩的点，少去了不
1689746992# #可可爱爱
1702734040# #收视女王刘诗诗的正常水平啦。
1693064586# #好疼，但哈哈哈哈哈哈哈哈哈哈
1698726700# #冷淡又性感，极致诱惑，一姐这脸这身材，每一帧画面都想截图保存。
1701426287# #刘诗诗演技封神，不需要我说第二遍了！这女的太牛批，太会演了。
1690956389# #肉嘟嘟，想捏脸
1703570126# #豆瓣乐子人票选最终结果。刘诗诗的最盛世美颜实至名归，大爆剧《一念关山》对她的加成不俗，演技封神，扛剧女王等等皆是观众对她的认可，她精研角色的努力与提前训练的辛苦付出都是值得的。
1701236515# #刘诗诗王艳对手戏。很好哭啊。任如意那么强大的一个人，狠厉冷漠杀人不眨眼，可提起皇后，眼中含泪，神情里都是痛与眷恋。皇后之死成了她的执念，她定要找出凶手为皇后报仇，哪怕付出一切代价。而皇后也是真的爱如意，她心疼如意从小没爹娘亲人被当刺客养大，怕如意什么也不懂会为了任务会不顾性命，
1692616850# #唐人尚舞，重要时刻都会跳舞。不知道见皇帝时的蹈舞礼是怎么个跳法。
1697460142# #那张脸太美了
1702792428# #一念关山里的李鹫儿根本就不适合任辛。。。任辛是需要补足一些东西，完成自我成长，变成一棵有独立思想的大树的（任辛也有这样的追求）。而李鹫儿年龄及经历所限，认知里师父是无所不能的，他对任辛的成长几乎没有任何助益。哪怕是青梅竹马的感情深厚，他也崇拜仰望任辛，但对任辛来说也还是不够，毕竟任
1702193246# #刘诗诗散粉超话。一念关山剧集过半，好像没谁聊过任如意的成长线。剧本除了雷点部分，看过就忘了，就不提了，只说剧，我认为剧里任如意的成长是:。。从一个独来独往的杀手，抱着娘娘嘱托的生一个孩子的任务，阴差阳错开始与这个世界建立人际关系，过程里体验与见识普通人的亲情、爱情、友情以及大义、
1700488353# #女子的所谓雅称多在形容外貌上，过了24岁，就少有赞美的词汇。
1689842795# #good
1693327445# #哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
